codigo,codigo_nuevo,clasificador,nombre_actividad
4774,0,ciiu_rev_4,Venta al por menor de artículos de segunda mano
9529,0,ciiu_rev_4,Reparación de otros efectos personales y enseres domésticos
445132,0,naics_2022,Vending Machine Operators
4782,0,ciiu_rev_4,"Venta al por menor de productos textiles, prendas de vestir y calzado en puestos de venta y mercados"
459410,0,naics_2022,Office Supplies and Stationery Retailers
459930,0,naics_2022,Manufactured (Mobile) Home Dealers
445230,0,naics_2022,Fruit and Vegetable Retailers
4742,0,ciiu_rev_4,Venta al por menor de equipo de sonido y de video en comercios especializados
4753,0,ciiu_rev_4,"Venta al por menor de tapices, alfombras y cubrimientos para paredes y pisos en comercios especializados"
456120,0,naics_2022,"Cosmetics, Beauty Supplies, and Perfume Retailers"
445250,0,naics_2022,Fish and Seafood Retailers
449129,0,naics_2022,All Other Home Furnishings Retailers
449110,0,naics_2022,Furniture Retailers
459999,0,naics_2022,All Other Miscellaneous Retailers
4741,0,ciiu_rev_4,"Venta al por menor de ordenadores (computadoras), equipo periférico, programas de informática y equipo de telecomunicaciones en comercios especializados"
456199,0,naics_2022,All Other Health and Personal Care Retailers
4721,0,ciiu_rev_4,Venta al por menor de alimentos en comercios especializados
459110,0,naics_2022,Sporting Goods Retailers
4759,0,ciiu_rev_4,"Venta al por menor de aparatos eléctricos de uso doméstico, muebles, equipo de iluminación y otros enseres domésticos en comercios especializados"
459910,0,naics_2022,Pet and Pet Supplies Retailers
456110,0,naics_2022,Pharmacies and Drug Retailers
4722,0,ciiu_rev_4,Venta al por menor de bebidas en comercios especializados
445320,0,naics_2022,"Beer, Wine, and Liquor Retailers"
4761,0,ciiu_rev_4,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados"
4789,0,ciiu_rev_4,Venta al por menor de otros productos en puestos de venta y mercados
4791,0,ciiu_rev_4,Venta al por menor por correo y por Internet
457210,0,naics_2022,Fuel Dealers
4751,0,ciiu_rev_4,Venta al por menor de productos textiles en comercios especializados
449210,0,naics_2022,Electronics and Appliance Retailers
445298,0,naics_2022,All Other Specialty Food Retailers
459210,0,naics_2022,Book Retailers and News Dealers
444240,0,naics_2022,"Nursery, Garden Center, and Farm Supply Retailers"
4781,0,ciiu_rev_4,"Venta al por menor de alimentos, bebidas y tabaco en puestos de venta y mercados"
444120,0,naics_2022,Paint and Wallpaper Retailers  
459991,0,naics_2022,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers"
458320,0,naics_2022,Luggage and Leather Goods Retailers
455110,0,naics_2022,Department Stores
445240,0,naics_2022,Meat Retailers
458310,0,naics_2022,Jewelry Retailers
456191,0,naics_2022,Food (Health) Supplement Retailers
4799,0,ciiu_rev_4,"Otras actividades de venta al por menor no realizadas en comercios, puestos de venta o mercados"
4762,0,ciiu_rev_4,Venta al por menor de grabaciones de música y de video en comercios especializados
459920,0,naics_2022,Art Dealers
444230,0,naics_2022,Outdoor Power Equipment Retailers
459120,0,naics_2022,"Hobby, Toy, and Game Retailers"
459510,0,naics_2022,Used Merchandise Retailers
4764,0,ciiu_rev_4,Venta al por menor de juegos y juguetes en comercios especializados
458110,0,naics_2022,Clothing and Clothing Accessories Retailers
4773,0,ciiu_rev_4,Venta al por menor de otros productos nuevos en comercios especializados
456130,0,naics_2022,Optical Goods Retailers
441330,0,naics_2022,Automotive Parts and Accessories Retailers
459140,0,naics_2022,Musical Instrument and Supplies Retailers
458210,0,naics_2022,Shoe Retailers
445291,0,naics_2022,Baked Goods Retailers 
445131,0,naics_2022,Convenience Retailers
444180,0,naics_2022,Other Building Material Dealers
444140,0,naics_2022,Hardware Retailers
4771,0,ciiu_rev_4,"Venta al por menor de prendas de vestir, calzado y artículos de cuero en comercios especializados"
459420,0,naics_2022,"Gift, Novelty, and Souvenir Retailers"
459130,0,naics_2022,"Sewing, Needlework, and Piece Goods Retailers"
444110,0,naics_2022,Home Centers
455211,0,naics_2022,Warehouse Clubs and Supercenters
455219,0,naics_2022,All Other General Merchandise Retailers
445292,0,naics_2022,Confectionery and Nut Retailers   
4723,0,ciiu_rev_4,Venta al por menor de productos de tabaco en comercios especializados
449122,0,naics_2022,Window Treatment Retailers
4719,0,ciiu_rev_4,Otras actividades de venta al por menor en comercios no especializados
4752,0,ciiu_rev_4,"Venta al por menor de artículos de ferretería, pinturas y productos de vidrio en comercios especializados"
449121,0,naics_2022,Floor Covering Retailers
459310,0,naics_2022,Florists
4772,0,ciiu_rev_4,"Venta al por menor de productos farmacéuticos y médicos, cosméticos y artículos de tocador en comercios especializados"
333914,1,naics_2022,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
2930,1,ciiu_rev_4,"Fabricación de partes, piezas y accesorios para vehículos automotores"
2816,1,ciiu_rev_4,Fabricación de equipo de elevación y manipulación
333112,1,naics_2022,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
336120,1,naics_2022,Heavy Duty Truck Manufacturing
332911,1,naics_2022,Industrial Valve Manufacturing
336390,1,naics_2022,Other Motor Vehicle Parts Manufacturing
336330,1,naics_2022,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
336213,1,naics_2022,Motor Home Manufacturing
336110,1,naics_2022,Automobile and Light Duty Motor Vehicle Manufacturing
331222,1,naics_2022,Steel Wire Drawing
3099,1,ciiu_rev_4,Fabricación de otros tipos de equipo de transporte n.c.p.
333924,1,naics_2022,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
336340,1,naics_2022,Motor Vehicle Brake System Manufacturing
336320,1,naics_2022,Motor Vehicle Electrical and Electronic Equipment Manufacturing
2910,1,ciiu_rev_4,Fabricación de vehículos automotores
333921,1,naics_2022,Elevator and Moving Stairway Manufacturing
336999,1,naics_2022,All Other Transportation Equipment Manufacturing
336310,1,naics_2022,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
2813,1,ciiu_rev_4,"Fabricación de otras bombas, compresores, grifos y válvulas"
336211,1,naics_2022,Motor Vehicle Body Manufacturing
311520,2,naics_2022,Ice Cream and Frozen Dessert Manufacturing
1050,2,ciiu_rev_4,Elaboración de productos lácteos
311941,2,naics_2022,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
311911,2,naics_2022,Roasted Nuts and Peanut Butter Manufacturing
311512,2,naics_2022,Creamery Butter Manufacturing
311612,2,naics_2022,Meat Processed From Carcasses
311999,2,naics_2022,All Other Miscellaneous Food Manufacturing
311513,2,naics_2022,Cheese Manufacturing
311920,2,naics_2022,Coffee and Tea Manufacturing
1079,2,ciiu_rev_4,Elaboración de otros productos alimenticios n.c.p.
311511,2,naics_2022,Fluid Milk Manufacturing
311423,2,naics_2022,Dried and Dehydrated Food Manufacturing
311942,2,naics_2022,Spice and Extract Manufacturing
311514,2,naics_2022,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
311411,2,naics_2022,"Frozen Fruit, Juice, and Vegetable Manufacturing"
311991,2,naics_2022,Perishable Prepared Food Manufacturing
1030,2,ciiu_rev_4,"Elaboración y conservación de frutas, legumbres y hortalizas"
311930,2,naics_2022,Flavoring Syrup and Concentrate Manufacturing
311421,2,naics_2022,Fruit and Vegetable Canning
1392,3,ciiu_rev_4,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir"
326111,3,naics_2022,Plastics Bag and Pouch Manufacturing 
326112,3,naics_2022,Plastics Packaging Film and Sheet (including Laminated) Manufacturing
326122,3,naics_2022,Plastics Pipe and Pipe Fitting Manufacturing
326130,3,naics_2022,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
326150,3,naics_2022,Urethane and Other Foam Product (except Polystyrene) Manufacturing
332913,3,naics_2022,Plumbing Fixture Fitting and Trim Manufacturing
2220,3,ciiu_rev_4,Fabricación de productos de plástico
326140,3,naics_2022,Polystyrene Foam Product Manufacturing
337920,3,naics_2022,Blind and Shade Manufacturing
336360,3,naics_2022,Motor Vehicle Seating and Interior Trim Manufacturing
326220,3,naics_2022,Rubber and Plastics Hoses and Belting Manufacturing
326160,3,naics_2022,Plastics Bottle Manufacturing
314120,3,naics_2022,Curtain and Linen Mills
326113,3,naics_2022,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
314910,3,naics_2022,Textile Bag and Canvas Mills
326121,3,naics_2022,Unlaminated Plastics Profile Shape Manufacturing
326191,3,naics_2022,Plastics Plumbing Fixture Manufacturing
621420,4,naics_2022,Outpatient Mental Health and Substance Abuse Centers
621610,4,naics_2022,Home Health Care Services
621320,4,naics_2022,Offices of Optometrists
621492,4,naics_2022,Kidney Dialysis Centers
621910,4,naics_2022,Ambulance Services
621391,4,naics_2022,Offices of Podiatrists
621310,4,naics_2022,Offices of Chiropractors
621511,4,naics_2022,Medical Laboratories
621991,4,naics_2022,Blood and Organ Banks
621512,4,naics_2022,Diagnostic Imaging Centers
8690,4,ciiu_rev_4,Otras actividades de atención de la salud humana
621399,4,naics_2022,Offices of All Other Miscellaneous Health Practitioners
621999,4,naics_2022,All Other Miscellaneous Ambulatory Health Care Services
621330,4,naics_2022,Offices of Mental Health Practitioners (except Physicians)
621340,4,naics_2022,"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
892,5,ciiu_rev_4,Extracción de turba
212312,5,naics_2022,Crushed and Broken Limestone Mining and Quarrying
212322,5,naics_2022,Industrial Sand Mining
212323,5,naics_2022,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining"
891,5,ciiu_rev_4,Extracción de minerales para la fabricación de abonos y productos químicos
893,5,ciiu_rev_4,Extracción de sal
212313,5,naics_2022,Crushed and Broken Granite Mining and Quarrying
810,5,ciiu_rev_4,"Extracción de piedra de cantera, arena y arcilla"
212390,5,naics_2022,Other Nonmetallic Mineral Mining and Quarrying
899,5,ciiu_rev_4,Explotación de otras minas y canteras n.c.p.
212319,5,naics_2022,Other Crushed and Broken Stone Mining and Quarrying
212321,5,naics_2022,Construction Sand and Gravel Mining
212311,5,naics_2022,Dimension Stone Mining and Quarrying
424430,6,naics_2022,Dairy Product (except Dried or Canned) Merchant Wholesalers
424590,6,naics_2022,Other Farm Product Raw Material Merchant Wholesalers
4630,6,ciiu_rev_4,"Venta al por mayor de alimentos, bebidas y tabaco"
424420,6,naics_2022,Packaged Frozen Food Merchant Wholesalers
424410,6,naics_2022,General Line Grocery Merchant Wholesalers
424810,6,naics_2022,Beer and Ale Merchant Wholesalers
424450,6,naics_2022,Confectionery Merchant Wholesalers
424480,6,naics_2022,Fresh Fruit and Vegetable Merchant Wholesalers
424940,6,naics_2022,Tobacco Product and Electronic Cigarette Merchant Wholesalers 
424820,6,naics_2022,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
424470,6,naics_2022,Meat and Meat Product Merchant Wholesalers 
424460,6,naics_2022,Fish and Seafood Merchant Wholesalers
424440,6,naics_2022,Poultry and Poultry Product Merchant Wholesalers
423330,7,naics_2022,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
423710,7,naics_2022,Hardware Merchant Wholesalers
4663,7,ciiu_rev_4,"Venta al por mayor de materiales de construcción, artículos de ferretería y equipo y materiales de fontanería y calefacción"
423730,7,naics_2022,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
423320,7,naics_2022,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
424950,7,naics_2022,"Paint, Varnish, and Supplies Merchant Wholesalers"
423220,7,naics_2022,Home Furnishing Merchant Wholesalers
423910,7,naics_2022,Sporting and Recreational Goods and Supplies Merchant Wholesalers
423390,7,naics_2022,Other Construction Material Merchant Wholesalers 
423310,7,naics_2022,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
423720,7,naics_2022,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers 
423830,7,naics_2022,Industrial Machinery and Equipment Merchant Wholesalers
423450,8,naics_2022,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
423410,8,naics_2022,Photographic Equipment and Supplies Merchant Wholesalers
423810,8,naics_2022,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
423610,8,naics_2022,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
423740,8,naics_2022,Refrigeration Equipment and Supplies Merchant Wholesalers
423490,8,naics_2022,Other Professional Equipment and Supplies Merchant Wholesalers 
423210,8,naics_2022,Furniture Merchant Wholesalers
423420,8,naics_2022,Office Equipment Merchant Wholesalers
423860,8,naics_2022,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers 
423850,8,naics_2022,Service Establishment Equipment and Supplies Merchant Wholesalers
423440,8,naics_2022,Other Commercial Equipment Merchant Wholesalers
4659,8,ciiu_rev_4,Venta al por mayor de otros tipos de maquinaria y equipo
221111,9,naics_2022,Hydroelectric Power Generation
221118,9,naics_2022,Other Electric Power Generation
221122,9,naics_2022,Electric Power Distribution
221121,9,naics_2022,Electric Bulk Power Transmission and Control
221117,9,naics_2022,Biomass Electric Power Generation
221116,9,naics_2022,Geothermal Electric Power Generation
221112,9,naics_2022,Fossil Fuel Electric Power Generation
221113,9,naics_2022,Nuclear Electric Power Generation
3510,9,ciiu_rev_4,"Generación, transmisión y distribución de energía eléctrica"
221114,9,naics_2022,Solar Electric Power Generation
221115,9,naics_2022,Wind Electric Power Generation
238120,10,naics_2022,Structural Steel and Precast Concrete Contractors
561790,10,naics_2022,Other Services to Buildings and Dwellings
238170,10,naics_2022,Siding Contractors
238110,10,naics_2022,Poured Concrete Foundation and Structure Contractors
238190,10,naics_2022,"Other Foundation, Structure, and Building Exterior Contractors"
236210,10,naics_2022,Industrial Building Construction
238140,10,naics_2022,Masonry Contractors
238160,10,naics_2022,Roofing Contractors
238130,10,naics_2022,Framing Contractors
4390,10,ciiu_rev_4,Otras actividades especializadas de construcción
238310,10,naics_2022,Drywall and Insulation Contractors
922190,11,naics_2022,"Other Justice, Public Order, and Safety Activities"
922150,11,naics_2022,Parole Offices and Probation Offices
922130,11,naics_2022,Legal Counsel and Prosecution
924120,11,naics_2022,Administration of Conservation Programs
922140,11,naics_2022,Correctional Institutions
922110,11,naics_2022,Courts
926120,11,naics_2022,Regulation and Administration of Transportation Programs
922120,11,naics_2022,Police Protection
922160,11,naics_2022,Fire Protection
921150,11,naics_2022,American Indian and Alaska Native Tribal Governments
8423,11,ciiu_rev_4,Actividades de mantenimiento del orden público y de seguridad
111110,12,naics_2022,Soybean Farming
111140,12,naics_2022,Wheat Farming
111150,12,naics_2022,Corn Farming
111120,12,naics_2022,Oilseed (except Soybean) Farming
111130,12,naics_2022,Dry Pea and Bean Farming
111191,12,naics_2022,Oilseed and Grain Combination Farming
111998,12,naics_2022,All Other Miscellaneous Crop Farming
111199,12,naics_2022,All Other Grain Farming
111992,12,naics_2022,Peanut Farming
111,12,ciiu_rev_4,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas"
331491,13,naics_2022,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
332322,13,naics_2022,Sheet Metal Work Manufacturing
332613,13,naics_2022,Spring Manufacturing
332722,13,naics_2022,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
322220,13,naics_2022,Paper Bag and Coated and Treated Paper Manufacturing
332721,13,naics_2022,Precision Turned Product Manufacturing
332119,13,naics_2022,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) "
339993,13,naics_2022,"Fastener, Button, Needle, and Pin Manufacturing"
332431,13,naics_2022,Metal Can Manufacturing
2599,13,ciiu_rev_4,Fabricación de otros productos elaborados de metal n.c.p.
337121,14,naics_2022,Upholstered Household Furniture Manufacturing
3100,14,ciiu_rev_4,Fabricación de muebles
337910,14,naics_2022,Mattress Manufacturing
337211,14,naics_2022,Wood Office Furniture Manufacturing
337122,14,naics_2022,Nonupholstered Wood Household Furniture Manufacturing
326199,14,naics_2022,All Other Plastics Product Manufacturing
337126,14,naics_2022,Household Furniture (except Wood and Upholstered) Manufacturing
337212,14,naics_2022,Custom Architectural Woodwork and Millwork Manufacturing
337110,14,naics_2022,Wood Kitchen Cabinet and Countertop Manufacturing
337214,14,naics_2022,Office Furniture (except Wood) Manufacturing
4540,15,ciiu_rev_4,"Venta, mantenimiento y reparación de motocicletas y sus partes, piezas y accesorios"
441210,15,naics_2022,Recreational Vehicle Dealers
441340,15,naics_2022,Tire Dealers
4610,15,ciiu_rev_4,Venta al por mayor a cambio de una retribución o por contrato
423120,15,naics_2022,Motor Vehicle Supplies and New Parts Merchant Wholesalers 
423110,15,naics_2022,Automobile and Other Motor Vehicle Merchant Wholesalers
425120,15,naics_2022,Wholesale Trade Agents and Brokers
423140,15,naics_2022,Motor Vehicle Parts (Used) Merchant Wholesalers 
423130,15,naics_2022,Tire and Tube Merchant Wholesalers 
4530,15,ciiu_rev_4,"Venta de partes, piezas y accesorios para vehículos automotores"
4669,16,ciiu_rev_4,"Venta al por mayor de desperdicios, desechos y chatarra y otros productos n.c.p."
423930,16,naics_2022,Recyclable Material Merchant Wholesalers
423840,16,naics_2022,Industrial Supplies Merchant Wholesalers 
424910,16,naics_2022,Farm Supplies Merchant Wholesalers 
424110,16,naics_2022,Printing and Writing Paper Merchant Wholesalers 
424610,16,naics_2022,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
424130,16,naics_2022,Industrial and Personal Service Paper Merchant Wholesalers
424490,16,naics_2022,Other Grocery and Related Products Merchant Wholesalers 
423940,16,naics_2022,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers "
424690,16,naics_2022,Other Chemical and Allied Products Merchant Wholesalers 
624221,17,naics_2022,Temporary Shelters
624110,17,naics_2022,Child and Youth Services
624190,17,naics_2022,Other Individual and Family Services
624229,17,naics_2022,Other Community Housing Services
8890,17,ciiu_rev_4,Otras actividades de asistencia social sin alojamiento
621410,17,naics_2022,Family Planning Centers
624230,17,naics_2022,Emergency and Other Relief Services
624410,17,naics_2022,Child Care Services 
624210,17,naics_2022,Community Food Services
624310,17,naics_2022,Vocational Rehabilitation Services
2652,18,ciiu_rev_4,Fabricación de relojes
334515,18,naics_2022,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
334519,18,naics_2022,Other Measuring and Controlling Device Manufacturing 
334514,18,naics_2022,Totalizing Fluid Meter and Counting Device Manufacturing
2651,18,ciiu_rev_4,"Fabricación de equipo de medición, prueba, navegación y control"
334516,18,naics_2022,Analytical Laboratory Instrument Manufacturing
334512,18,naics_2022,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
334511,18,naics_2022,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
334513,18,naics_2022,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
237990,19,naics_2022,Other Heavy and Civil Engineering Construction
238910,19,naics_2022,Site Preparation Contractors
4312,19,ciiu_rev_4,Preparación del terreno
990,19,ciiu_rev_4,Actividades de apoyo para otras actividades de explotación de minas y canteras
4311,19,ciiu_rev_4,Demolición
213113,19,naics_2022,Support Activities for Coal Mining
213114,19,naics_2022,Support Activities for Metal Mining
213115,19,naics_2022,Support Activities for Nonmetallic Minerals (except Fuels) Mining
337215,20,naics_2022,"Showcase, Partition, Shelving, and Locker Manufacturing"
321215,20,naics_2022,Engineered Wood Member Manufacturing
321918,20,naics_2022,Other Millwork (including Flooring)
321911,20,naics_2022,Wood Window and Door Manufacturing
321113,20,naics_2022,Sawmills
321992,20,naics_2022,Prefabricated Wood Building Manufacturing
1622,20,ciiu_rev_4,Fabricación de partes y piezas de carpintería para edificios y construcciones
321991,20,naics_2022,Manufactured Home (Mobile Home) Manufacturing
2822,21,ciiu_rev_4,Fabricación de maquinaria para la conformación de metales y de máquinas herramienta
333519,21,naics_2022,Rolling Mill and Other Metalworking Machinery Manufacturing 
333514,21,naics_2022,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
2823,21,ciiu_rev_4,Fabricación de maquinaria metalúrgica
333248,21,naics_2022,All Other Industrial Machinery Manufacturing
331511,21,naics_2022,Iron Foundries
2826,21,ciiu_rev_4,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros"
333517,21,naics_2022,Machine Tool Manufacturing 
811121,22,naics_2022,"Automotive Body, Paint, and Interior Repair and Maintenance "
336214,22,naics_2022,Travel Trailer and Camper Manufacturing
336212,22,naics_2022,Truck Trailer Manufacturing
333414,22,naics_2022,Heating Equipment (except Warm Air Furnaces) Manufacturing
2920,22,ciiu_rev_4,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques
332420,22,naics_2022,Metal Tank (Heavy Gauge) Manufacturing
332439,22,naics_2022,Other Metal Container Manufacturing
2512,22,ciiu_rev_4,"Fabricación de tanques, depósitos y recipientes de metal"
3212,23,ciiu_rev_4,Fabricación de bisutería y artículos conexos
332710,23,naics_2022,Machine Shops
332812,23,naics_2022,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
332813,23,naics_2022,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
332811,23,naics_2022,Metal Heat Treating
339910,23,naics_2022,Jewelry and Silverware Manufacturing 
2592,23,ciiu_rev_4,Tratamiento y revestimiento de metales; maquinado
3211,23,ciiu_rev_4,Fabricación de joyas y artículos conexos
336414,24,naics_2022,Guided Missile and Space Vehicle Manufacturing
334220,24,naics_2022,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
